name,best_affinity,z_score,hit_level,family,source,repo_score,scaffold
LAMOTRIGINE,-7.106,-1.1366283512439677,L3_Absolute,Other,chembl_ml_screen,4.5,c1ccc(-c2cncnn2)cc1
TIPIRACIL,-7.078,-1.1165581823287047,L3_Absolute,Other,chembl_ml_screen,4.5,N=C1CCCN1Cc1cc(=O)[nH]c(=O)[nH]1
BELINOSTAT,-7.063,-1.105806306124099,L3_Absolute,Other,chembl_ml_screen,4.5,O=S(=O)(Nc1ccccc1)c1ccccc1
BARBITAL,-7.045,-1.0929040546785727,L3_Absolute,Other,chembl_ml_screen,4.5,O=C1CC(=O)NC(=O)N1
PROXIBARBAL,-7.035,-1.0857361372088359,L3_Absolute,Other,chembl_ml_screen,4.5,O=C1CC(=O)NC(=O)N1
IBUDILAST,-7.025,-1.0785682197390993,L3_Absolute,Other,chembl_ml_screen,4.5,c1ccn2nccc2c1
AMINOGLUTETHIMIDE,-7.011,-1.0685331352814673,L3_Absolute,Other,chembl_ml_screen,4.5,O=C1CCC(c2ccccc2)C(=O)N1
DICLOFENAC,-7.232,-1.226944111362653,L3_Absolute,Other,chembl_ml_screen,3.5,c1ccc(Nc2ccccc2)cc1
5-Hydroxytryptophan,-7.664,-0.8818325413503578,L3_Absolute,Amino_acid,hand_picked,2.5,c1ccc2[nH]ccc2c1
Biotin_Sulfone,-7.255,-0.7817606299607576,L3_Absolute,Biotin_analog,hand_picked,2.5,O=C1NC2CS(=O)(=O)CC2N1
Diclofenac,-7.15,-0.7560697969634276,L3_Absolute,Other,hand_picked,1.5,c1ccc(Nc2ccccc2)cc1
RASAGILINE,-6.981,-1.0470293828722566,L4_BiotinLike,Other,chembl_ml_screen,3.5,c1ccc2c(c1)CCC2
METAXALONE,-6.971,-1.0398614654025198,L4_BiotinLike,Other,chembl_ml_screen,3.5,O=C1NCC(COc2ccccc2)O1
PHENMETRAZINE,-6.97,-1.0391446736555459,L4_BiotinLike,Other,chembl_ml_screen,3.5,c1ccc(C2CNCCO2)cc1
NITROXOLINE,-6.945,-1.021224879981204,L4_BiotinLike,Other,chembl_ml_screen,3.5,c1ccc2ncccc2c1
SULFAPYRIDINE,-6.921,-1.0040218780538355,L4_BiotinLike,Other,chembl_ml_screen,3.5,O=S(=O)(Nc1ccccn1)c1ccccc1
TEGAFUR,-6.887,-0.9796509586567295,L4_BiotinLike,Other,chembl_ml_screen,3.5,O=c1ccn(C2CCCO2)c(=O)[nH]1
BENZOYL PEROXIDE,-6.885,-0.9782173751627823,L4_BiotinLike,Other,chembl_ml_screen,3.5,O=C(OOC(=O)c1ccccc1)c1ccccc1
ATOMOXETINE,-6.883,-0.976783791668835,L4_BiotinLike,Other,chembl_ml_screen,3.5,c1ccc(COc2ccccc2)cc1
ZONISAMIDE,-6.866,-0.964598331970282,L4_BiotinLike,Other,chembl_ml_screen,3.5,c1ccc2oncc2c1
TRYPTOPHAN,-6.865,-0.9638815402233087,L4_BiotinLike,Amino_acid,chembl_ml_screen,3.5,c1ccc2[nH]ccc2c1
