name,chembl_id,smiles,predicted_affinity,predicted_hit_prob
METHYLDOPA,CHEMBL459,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,-4.811549697855421,0.32987772333982557
HEXAMINOLEVULINATE HYDROCHLORIDE,CHEMBL1201785,CCCCCCOC(=O)CCC(=O)CN.Cl,-4.810286295792666,0.23692825835918105
BETHANECHOL CHLORIDE,CHEMBL1768,CC(C[N+](C)(C)C)OC(N)=O.[Cl-],-4.809384346011347,0.23305407367883577
BETHANECHOL,CHEMBL1482,CC(C[N+](C)(C)C)OC(N)=O,-4.808891529904816,0.22357806044037581
TIPIRACIL HYDROCHLORIDE,CHEMBL65375,Cl.N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,-4.805703821977325,0.3260288000019465
LEVETIRACETAM,CHEMBL1286,CC[C@@H](C(N)=O)N1CCCC1=O,-4.8052715706453615,0.26471307796329036
BARBITAL,CHEMBL444,CCC1(CC)C(=O)NC(=O)NC1=O,-4.8025922504178835,0.31129752558658624
DEFERIPRONE,CHEMBL70927,Cc1c(O)c(=O)ccn1C,-4.802040360057682,0.2552769149604033
MECLOFENAMATE SODIUM,CHEMBL1562610,Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.O.[Na+],-4.800569295596525,0.41558012111504106
AMINOPYRINE,CHEMBL288470,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-4.799443844630931,0.3104976943660591
APROBARBITAL,CHEMBL7863,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-4.796580397793716,0.3059789347613124
BUFEXAMAC,CHEMBL94394,CCCCOc1ccc(CC(=O)NO)cc1,-4.795329054959417,0.2688518770704868
HYDRALAZINE,CHEMBL276832,NNc1nncc2ccccc12,-4.79524564635429,0.29468606858081314
PRIMIDONE,CHEMBL856,CCC1(c2ccccc2)C(=O)NCNC1=O,-4.794684586527333,0.3555250985826014
NAPROXEN SODIUM,CHEMBL1200806,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+],-4.791901203665019,0.24326387009294045
